"","Germany","Austria","Switzerland","Greece","Poland","Spain","France","Bulgaria","Netherlands","Denmark","Italy","UK","Russia","Ireland","Slovenia","not EU"
"food",9.14285714285714,9.57446808510638,13.6645962732919,NA,7.69230769230769,6.66666666666667,33.3333333333333,0,NA,NA,4.47761194029851,NA,NA,NA,100,0
"drugs",20,36.1702127659575,45.3416149068323,NA,46.1538461538462,48.8888888888889,42.3076923076923,87.5,NA,NA,25.3731343283582,NA,NA,NA,0,50
"insects",63.7714285714286,53.1914893617021,33.5403726708075,NA,38.4615384615385,2.22222222222222,16.6666666666667,0,NA,NA,70.1492537313433,NA,NA,NA,0,0
"other",1.02857142857143,1.06382978723404,0.62111801242236,NA,7.69230769230769,40,6.41025641025641,0,NA,NA,0,NA,NA,NA,0,50
"unkown",6.05714285714286,0,6.83229813664596,NA,0,2.22222222222222,1.28205128205128,12.5,NA,NA,0,NA,NA,NA,0,0
